unit;counterparty_code;counterparty_name;ctype_code;ctype_name;def_id;default_start_date;default_end_date;long_term_rating;currentstartdate;defaultenddate;dqi_check
RBRS;943766;REFOT B DOO BEOGRAD;3;Corporates;104425;29.09.2017;17.09.2021;CORP_8A;29.09.2017;17.09.2021;OK
RBRS;118297;INDUSTRIJA HRANE DUNJA DOO BEOGRAD;3;Corporates;117211;07.05.2019;16.09.2020;CORP_MIS;07.05.2019;16.09.2020;OK
RBRS;43237;MERCATOR S, D.O.O. BEOGRAD;3;Corporates;98245;30.03.2017;24.12.2021;CORPL_9A;30.03.2017;24.12.2021;OK
RBRS;292672;PNEUTECH DOO VRBAS;3;Corporates;107325;25.12.2017;23.08.2019;CORP_7A;25.12.2017;23.08.2019;OK
RBRS;171919;JUGO IMPEX DOO NIS;3;Corporates;104966;27.10.2017;04.07.2019;CORP_MIS;27.10.2017;04.07.2019;OK
RBRS;293925;PNEUGROUP DOO BEOGRAD;3;Corporates;107306;25.12.2017;10.09.2019;CORP_7A;25.12.2017;10.09.2019;OK
RBRS;880536;ZITOSTOK DOO VELIKA PLANA;3;Corporates;117530;23.05.2019;05.07.2022;CORP_6C;23.05.2019;05.07.2022;OK
RBRS;716063;AS POINT GROUP DOO BEOGRAD;6;Small Medium Business (SMB);118071;21.06.2019;18.10.2021;SME_5C;21.06.2019;18.10.2021;OK
RBRS;210287;IVA-28 DOO BEOGRAD;6;Small Medium Business (SMB);95784;22.12.2016;21.01.2019;SME_8C;22.12.2016;21.01.2019;OK
RBRS;118279;PAXEL DOO BEOGRAD;3;Corporates;132072;06.05.2021;24.12.2021;CORP_9C;06.05.2021;24.12.2021;OK
RBRS;647443;PREDUZECE COBRA RIV DOO GORNJI MILA;6;Small Medium Business (SMB);103325;15.08.2017;26.06.2018;SME_MIS;15.08.2017;26.06.2018;OK
RBRS;1216660;AS CORPORATION DOO SMEDEREVO;6;Small Medium Business (SMB);136853;24.12.2021;15.12.2022;SME_9C;24.12.2021;15.12.2022;OK
RBRS;152785;OFFICE MORE DOO BEOGRAD;3;Corporates;105265;07.11.2017;23.06.2020;CORP_MIS;07.11.2017;23.06.2020;OK
