unit;default_id;cross_default_cocunut;entity_type;entity_type_desc;default_status_detail;cross_default_start_date;tdc;tdc2;dqi_check
TBSK;138232;1927438;6;Small Medium Business (SMB);P;29.03.2022;1927438;1927438;OK
RLBH;124531;1477862;6;Small Medium Business (SMB);C;08.05.2020;1477862;1477862;OK
ILSK;137671;1627966;6;Small Medium Business (SMB);C;17.02.2022;1627966;1627966;OK
RLRO;127912;868646;6;Small Medium Business (SMB);C;07.10.2020;868646;868646;OK
RBI;141195;392957;3;Corporates;P;27.09.2022;392957;392957;OK
RLHR;98367;108736;3;Corporates;C;31.03.2017;108736;108736;OK
RBBY;121530;574821;6;Small Medium Business (SMB);C;17.12.2019;574821;574821;OK
RLCZ;128977;1437486;3;Corporates;P;26.11.2020;1437486;1437486;OK
TBSK;130671;1633034;3;Corporates;P;17.02.2021;1633034;1633034;OK
RLHR;118611;523245;3;Corporates;P;24.07.2019;523245;523245;OK
RLBY1;139755;579784;6;Small Medium Business (SMB);P;28.06.2022;579784;579784;OK
RBCZ;111846;92677;3;Corporates;C;10.08.2018;92677;92677;OK
RBCZ;125590;716505;6;Small Medium Business (SMB);C;18.06.2020;716505;716505;OK
RBRO;129578;1328588;6;Small Medium Business (SMB);P;14.12.2020;1328588;1328588;OK
RLHR;131631;1355886;6;Small Medium Business (SMB);P;09.04.2021;1355886;1355886;OK
RBSG;90881;724263;3;Corporates;C;20.07.2016;724263;724263;OK
TBSK;131792;1432833;6;Small Medium Business (SMB);P;19.04.2021;1432833;1432833;OK
RLBY1;91641;179244;3;Corporates;C;22.08.2016;179244;179244;OK
TLSK;91101;214604;3;Corporates;C;26.07.2016;214604;214604;OK
RLBY1;94162;1205175;3;Corporates;C;31.10.2016;1205175;1205175;OK
RLBH;135791;166071;6;Small Medium Business (SMB);C;01.11.2021;166071;166071;OK
RBBH;132490;757430;6;Small Medium Business (SMB);C;03.06.2021;757430;757430;OK
RLHR;137396;790135;3;Corporates;C;27.01.2022;790135;790135;OK
ILSK;134687;1475904;6;Small Medium Business (SMB);C;24.09.2021;1475904;1475904;OK
RBI;141193;389595;3;Corporates;P;27.09.2022;389595;389595;OK
TBSK;101346;192323;6;Small Medium Business (SMB);C;21.06.2017;192323;192323;OK
RLRS;128810;130353;3;Corporates;P;23.11.2020;130353;130353;OK
RLHR;114793;594600;3;Corporates;C;20.12.2018;594600;594600;OK
RLBY1;110406;503892;6;Small Medium Business (SMB);C;14.05.2018;503892;503892;OK
RLBY1;85381;493127;6;Small Medium Business (SMB);C;27.01.2016;493127;493127;OK
RLPL;88343;81097;;;C;28.04.2016;;;ERROR
RLPL;88342;804239;;;C;28.04.2016;;;ERROR
RLPL;88341;804240;;;C;28.04.2016;;;ERROR
RLHR;126196;1229238;3;Corporates;C;24.07.2020;1229238;1229238;OK
RLRO;104745;796794;6;Small Medium Business (SMB);C;17.10.2017;796794;796794;OK
TLSK;136331;99506;6;Small Medium Business (SMB);P;26.11.2021;99506;99506;OK
RLKO;140673;1831041;6;Small Medium Business (SMB);P;23.08.2022;1831041;1831041;OK
RLHR;114172;188625;3;Corporates;C;23.11.2018;188625;188625;OK
RLHR;102545;107637;6;Small Medium Business (SMB);C;21.07.2017;107637;107637;OK
RBAL;128915;792858;3;Corporates;C;25.11.2020;792858;792858;OK
RLRS;118073;173347;6;Small Medium Business (SMB);P;21.06.2019;173347;173347;OK
RLCZ;125706;668931;3;Corporates;C;25.06.2020;668931;668931;OK
RLRS;142253;946044;3;Corporates;P;12.12.2022;946044;946044;OK
TLSK;139133;1791743;3;Corporates;P;18.05.2022;1791743;1791743;OK
RLBG;102666;314406;3;Corporates;C;26.07.2017;314406;314406;OK
RBRO;142435;66031;3;Corporates;P;21.12.2022;66031;66031;OK
RLRU;118490;1365162;3;Corporates;C;18.07.2019;1365162;1365162;OK
RLBY1;133032;1550083;6;Small Medium Business (SMB);C;29.06.2021;1550083;1550083;OK
ILSK;134678;1064715;6;Small Medium Business (SMB);C;24.09.2021;1064715;1064715;OK
RLRO;119072;933612;6;Small Medium Business (SMB);C;21.08.2019;933612;933612;OK
RLBG;102665;157089;3;Corporates;C;26.07.2017;157089;157089;OK
RLRO;114672;1328249;6;Small Medium Business (SMB);C;14.12.2018;1328249;1328249;OK
TLSK;130824;1810632;3;Corporates;P;25.02.2021;1810632;1810632;OK
RLRS;141262;748772;6;Small Medium Business (SMB);P;30.09.2022;748772;748772;OK
TBSK;123450;1050901;6;Small Medium Business (SMB);P;09.03.2020;1050901;1050901;OK
TBSK;137972;680460;3;Corporates;C;10.03.2022;680460;680460;OK
RLBH;111110;792308;6;Small Medium Business (SMB);C;25.06.2018;792308;792308;OK
RLBY1;138216;1615370;6;Small Medium Business (SMB);P;28.03.2022;1615370;1615370;OK
RPL;120850;535543;3;Corporates;P;25.11.2019;535543;535543;OK
RLRS;112172;1250448;6;Small Medium Business (SMB);C;29.08.2018;1250448;1250448;OK
TBSK;125670;1505588;6;Small Medium Business (SMB);P;24.06.2020;1505588;1505588;OK
RBBY;86063;536175;6;Small Medium Business (SMB);C;15.02.2016;536175;536175;OK
RBRO;114851;652745;6;Small Medium Business (SMB);C;24.12.2018;652745;652745;OK
ILSK;134673;1428193;6;Small Medium Business (SMB);C;24.09.2021;1428193;1428193;OK
RBRO;116330;304110;6;Small Medium Business (SMB);P;22.03.2019;304110;304110;OK
RLRO;101866;465664;6;Small Medium Business (SMB);C;30.06.2017;465664;465664;OK
TLSK;101606;303153;6;Small Medium Business (SMB);P;27.06.2017;303153;303153;OK
RBI;91341;149445;3;Corporates;C;04.08.2016;149445;149445;OK
RLRS;104326;650054;6;Small Medium Business (SMB);C;29.09.2017;650054;650054;OK
RLHR;125992;120106;6;Small Medium Business (SMB);C;09.07.2020;120106;120106;OK
ILSK;134686;1040550;3;Corporates;C;24.09.2021;1040550;1040550;OK
TBSK;122392;1201298;4;Government-Owned Commercial Undertaking;P;30.01.2020;1201298;1201298;OK
RBI;86683;156826;3;Corporates;C;04.03.2016;156826;156826;OK
RLRO;125548;721021;6;Small Medium Business (SMB);C;16.06.2020;721021;721021;OK
RLHR;110889;535667;3;Corporates;C;12.06.2018;535667;535667;OK
CASRS;140342;130353;3;Corporates;P;01.04.2022;130353;130353;OK
RLCZ;140334;1959578;6;Small Medium Business (SMB);P;01.08.2022;1959578;1959578;OK
CASRS;141258;664483;6;Small Medium Business (SMB);P;30.09.2022;664483;664483;OK
RBCZ;123990;1504502;3;Corporates;P;27.03.2020;1504502;1504502;OK
RLCZ;128762;1335983;3;Corporates;C;19.11.2020;1335983;1335983;OK
RLBH;103686;128241;3;Corporates;C;31.08.2017;128241;128241;OK
RBRO;89561;677805;3;Corporates;P;07.06.2016;677805;677805;OK
RBKO;141795;947669;6;Small Medium Business (SMB);P;07.11.2022;947669;947669;OK
RBAL;108246;176189;6;Small Medium Business (SMB);P;30.01.2018;176189;176189;OK
RBSI;89421;487084;3;Corporates;C;02.06.2016;;;ERROR
RLGMBH;106285;205090;3;Corporates;C;30.11.2017;;;ERROR
RBAL;128950;156573;3;Corporates;P;26.11.2020;;;ERROR
ILSK;134679;806980;6;Small Medium Business (SMB);C;24.09.2021;;;ERROR
RBI;87121;184263;3;Corporates;C;18.03.2016;184263;184263;OK
RLRS;131132;119235;3;Corporates;P;12.03.2021;119235;119235;OK
RLHR;114638;108188;3;Corporates;C;13.12.2018;108188;108188;OK
RLHR;132674;1514778;3;Corporates;P;18.06.2021;1514778;1514778;OK
ILSK;134682;504085;6;Small Medium Business (SMB);C;24.09.2021;504085;504085;OK
RBCZ;125996;204362;3;Corporates;P;09.07.2020;204362;204362;OK
RBI;101985;204456;3;Corporates;C;05.07.2017;204456;204456;OK
RLAL;137437;177868;3;Corporates;P;31.01.2022;177868;177868;OK
RLBY1;122212;469220;;;C;21.01.2020;469220;469220;OK
RLCZ;122192;648014;6;Small Medium Business (SMB);C;20.01.2020;648014;648014;OK
RLBY1;93082;585053;3;Corporates;C;05.10.2016;585053;585053;OK
ILSK;137413;467049;3;Corporates;C;28.01.2022;467049;467049;OK
RBHR;115332;108556;3;Corporates;P;25.01.2019;108556;108556;OK
RLBH;135731;517336;3;Corporates;P;28.10.2021;517336;517336;OK
TBSK;137032;1601150;6;Small Medium Business (SMB);C;04.01.2022;1601150;1601150;OK
ILSK;134683;1636934;6;Small Medium Business (SMB);C;24.09.2021;1636934;1636934;OK
RBAL;128970;551798;3;Corporates;P;26.11.2020;551798;551798;OK
ILSK;134690;518070;6;Small Medium Business (SMB);C;24.09.2021;518070;518070;OK
RLRO;140896;1930703;6;Small Medium Business (SMB);P;05.09.2022;1930703;1930703;OK
RLRS;141035;676544;6;Small Medium Business (SMB);P;16.09.2022;676544;676544;OK
RLHR;129470;1215139;6;Small Medium Business (SMB);C;10.12.2020;1215139;1215139;OK
RBHR;98405;107519;4;Government-Owned Commercial Undertaking;C;31.03.2017;107519;107519;OK
RLBG;134850;1566248;3;Corporates;P;29.09.2021;1566248;1566248;OK
RLBG;138879;517671;3;Corporates;P;04.05.2022;517671;517671;OK
RLHR;98385;124940;3;Corporates;C;31.03.2017;124940;124940;OK
RBRS;113770;165537;6;Small Medium Business (SMB);C;06.11.2018;165537;165537;OK
RLRO;138178;247121;6;Small Medium Business (SMB);P;24.03.2022;247121;247121;OK
RBAL;128913;851905;6;Small Medium Business (SMB);P;25.11.2020;851905;851905;OK
RLHR;98366;116810;3;Corporates;C;31.03.2017;116810;116810;OK
TBSK;97245;719795;6;Small Medium Business (SMB);C;20.02.2017;719795;719795;OK
RLHR;130822;921803;6;Small Medium Business (SMB);C;25.02.2021;921803;921803;OK
RBAL;124973;604353;6;Small Medium Business (SMB);C;26.05.2020;604353;604353;OK
RLRS;131891;1520192;6;Small Medium Business (SMB);P;26.04.2021;1520192;1520192;OK
TLSK;136332;1310269;6;Small Medium Business (SMB);C;26.11.2021;1310269;1310269;OK
RLBY1;126290;904337;6;Small Medium Business (SMB);C;28.07.2020;904337;904337;OK
RLRO;128630;134868;6;Small Medium Business (SMB);P;17.11.2020;134868;134868;OK
RLRS;130010;175015;6;Small Medium Business (SMB);P;30.12.2020;175015;175015;OK
RBBH;135994;1268946;6;Small Medium Business (SMB);P;09.11.2021;1268946;1268946;OK
RLBH;130990;934071;6;Small Medium Business (SMB);P;05.03.2021;934071;934071;OK
RLBY1;140092;1607998;6;Small Medium Business (SMB);P;19.07.2022;1607998;1607998;OK
RLBH;123510;127566;3;Corporates;C;11.03.2020;127566;127566;OK
RBAL;128914;131256;3;Corporates;P;25.11.2020;131256;131256;OK
TBSK;111271;794541;6;Small Medium Business (SMB);C;04.07.2018;794541;794541;OK
TLSK;119910;1223833;3;Corporates;P;26.09.2019;1223833;1223833;OK
RBBH;127271;876635;6;Small Medium Business (SMB);P;08.09.2020;876635;876635;OK
RLBH;132910;127511;3;Corporates;C;24.06.2021;127511;127511;OK
RBI;141194;221608;3;Corporates;P;27.09.2022;221608;221608;OK
TLSK;139377;1969834;6;Small Medium Business (SMB);P;31.05.2022;1969834;1969834;OK
RBCZ;131351;1402867;6;Small Medium Business (SMB);P;26.03.2021;1402867;1402867;OK
TBSK;130670;798234;3;Corporates;P;17.02.2021;798234;798234;OK
RZBA;97145;3930;3;Corporates;C;17.02.2017;3930;3930;OK
RBBY;95488;592561;3;Corporates;P;16.12.2016;592561;592561;OK
RBRS;127950;1590943;6;Small Medium Business (SMB);P;09.10.2020;1590943;1590943;OK
RBI;99265;739692;3;Corporates;P;27.04.2017;;;ERROR
CASRS;140341;2157205;3;Corporates;P;01.04.2022;;;ERROR
RLHR;101366;493172;3;Corporates;C;21.06.2017;;;ERROR
RBHR;113612;493172;3;Corporates;C;31.10.2018;;;ERROR
RLRU;140312;1779028;3;Corporates;P;29.07.2022;1779028;1779028;OK
RPL;95185;110737;3;Corporates;C;02.12.2016;110737;110737;OK
RLBH;135190;1363353;6;Small Medium Business (SMB);P;05.10.2021;1363353;1363353;OK
RLRS;107305;769810;6;Small Medium Business (SMB);C;25.12.2017;769810;769810;OK
RBAL;140695;605381;3;Corporates;P;23.08.2022;605381;605381;OK
RBRO;139276;1933547;6;Small Medium Business (SMB);P;26.05.2022;1933547;1933547;OK
RLRS;141261;786499;6;Small Medium Business (SMB);P;30.09.2022;786499;786499;OK
TBSK;123890;497073;6;Small Medium Business (SMB);P;25.03.2020;497073;497073;OK
RLBY1;140395;1498993;6;Small Medium Business (SMB);C;03.08.2022;1498993;1498993;OK
RLBY1;86664;560687;6;Small Medium Business (SMB);C;03.03.2016;560687;560687;OK
RLBH;130790;1628208;3;Corporates;C;23.02.2021;1628208;1628208;OK
RBRO;125870;928383;6;Small Medium Business (SMB);C;02.07.2020;928383;928383;OK
TLSK;138793;1224886;6;Small Medium Business (SMB);P;28.04.2022;1224886;1224886;OK
RLCZ;140782;1312708;6;Small Medium Business (SMB);P;30.08.2022;1312708;1312708;OK
TLSK;105646;122733;3;Corporates;P;15.11.2017;122733;122733;OK
RLHR;138994;1030981;6;Small Medium Business (SMB);P;11.05.2022;1030981;1030981;OK
RBRO;133033;705362;3;Corporates;C;29.06.2021;705362;705362;OK
RBRS;129017;513577;3;Corporates;P;27.11.2020;513577;513577;OK
RLRO;131450;926608;6;Small Medium Business (SMB);P;30.03.2021;926608;926608;OK
TLSK;130890;680460;3;Corporates;C;02.03.2021;680460;680460;OK
RBRS;122290;1558909;6;Small Medium Business (SMB);P;27.01.2020;1558909;1558909;OK
RBRO;110005;844773;6;Small Medium Business (SMB);C;13.04.2018;844773;844773;OK
TLSK;142175;1905748;6;Small Medium Business (SMB);P;06.12.2022;1905748;1905748;OK
TLSK;130610;1826618;6;Small Medium Business (SMB);P;10.02.2021;1826618;1826618;OK
TLSK;130821;100619;3;Corporates;P;25.02.2021;100619;100619;OK
RLGMBH;113350;191268;3;Corporates;C;24.10.2018;191268;191268;OK
RLRO;100406;806177;6;Small Medium Business (SMB);C;25.05.2017;806177;806177;OK
RLRS;142499;2152441;3;Corporates;P;27.12.2022;2152441;2152441;OK
RBRS;142516;2152441;3;Corporates;P;28.12.2022;2152441;2152441;OK
RBRO;89381;677803;3;Corporates;P;31.05.2016;677803;677803;OK
RLRS;141263;955075;6;Small Medium Business (SMB);P;30.09.2022;955075;955075;OK
RLKO;131930;1254552;6;Small Medium Business (SMB);C;27.04.2021;1254552;1254552;OK
RLBH;127230;1043822;6;Small Medium Business (SMB);C;04.09.2020;1043822;1043822;OK
RLHR;139214;452776;3;Corporates;P;23.05.2022;452776;452776;OK
ILSK;134676;1321721;3;Corporates;C;24.09.2021;1321721;1321721;OK
RLCZ;134681;848592;6;Small Medium Business (SMB);P;24.09.2021;848592;848592;OK
RBHR;125392;128326;6;Small Medium Business (SMB);C;10.06.2020;128326;128326;OK
RLBG;88921;135439;3;Corporates;P;18.05.2016;135439;135439;OK
RLCZ;119310;648993;3;Corporates;P;31.10.2018;648993;648993;OK
RLBY1;94203;878587;6;Small Medium Business (SMB);C;31.10.2016;878587;878587;OK
TBSK;107208;78870;3;Corporates;C;22.12.2017;78870;78870;OK
RLBG;86603;190676;3;Corporates;C;02.03.2016;190676;190676;OK
RBBH;107746;322735;6;Small Medium Business (SMB);C;08.01.2018;322735;322735;OK
RLHR;101526;534994;3;Corporates;C;26.06.2017;;;ERROR
RBRS;128770;706660;3;Corporates;P;20.11.2020;706660;706660;OK
RLHR;98386;132770;3;Corporates;C;31.03.2017;132770;132770;OK
TBSK;122391;91125;6;Small Medium Business (SMB);C;30.01.2020;91125;91125;OK
RLRO;87402;710784;6;Small Medium Business (SMB);C;31.03.2016;710784;710784;OK
RLHR;140373;108730;3;Corporates;P;02.08.2022;108730;108730;OK
RLBH;119332;1043400;3;Corporates;C;30.08.2019;1043400;1043400;OK
CASRS;142272;946044;3;Corporates;P;13.12.2022;946044;946044;OK
RLHR;107586;142190;3;Corporates;C;29.12.2017;142190;142190;OK
RLHR;128650;1228759;3;Corporates;P;17.11.2020;1228759;1228759;OK
RPL;122030;195361;3;Corporates;C;10.01.2020;195361;195361;OK
RBAL;132090;1056491;3;Corporates;P;07.05.2021;1056491;1056491;OK
RLCZ;138652;1633086;3;Corporates;P;22.04.2022;1633086;1633086;OK
RLRO;127812;331739;6;Small Medium Business (SMB);C;01.10.2020;331739;331739;OK
RLCZ;136011;600156;3;Corporates;P;10.11.2021;600156;600156;OK
RBBY;102885;309569;3;Corporates;P;31.07.2017;309569;309569;OK
RLBH;117610;127581;3;Corporates;C;28.05.2019;127581;127581;OK
RBI;89661;677810;3;Corporates;C;10.06.2016;677810;677810;OK
RBRO;136176;151329;6;Small Medium Business (SMB);P;19.11.2021;151329;151329;OK
RLBG;121390;730383;6;Small Medium Business (SMB);P;13.12.2019;730383;730383;OK
RLBH;125933;868204;3;Corporates;C;06.07.2020;868204;868204;OK
ILSK;134692;90385;6;Small Medium Business (SMB);C;24.09.2021;90385;90385;OK
TLSK;88364;804919;3;Corporates;C;27.04.2016;804919;804919;OK
RLRO;110829;796330;3;Corporates;P;06.06.2018;796330;796330;OK
RLHR;114573;881024;3;Corporates;C;11.12.2018;881024;881024;OK
RLBY1;139554;1461841;3;Corporates;P;15.06.2022;1461841;1461841;OK
