unit;default_id;cross_default_cocunut;entity_type;entity_type_desc;default_status_detail;cross_default_start_date;tdc;tdc2;dqi_check
TBSK;108765;523659;3;Corporates;P;21.02.2018;523659;523659;OK
RBBY;85204;325264;3;Corporates;P;15.01.2016;325264;325264;OK
RLHR;101647;108951;3;Corporates;C;28.06.2017;108951;108951;OK
TBSK;104245;934825;6;Small Medium Business (SMB);C;28.09.2017;934825;934825;OK
RLBG;94321;467026;6;Small Medium Business (SMB);P;04.11.2016;467026;467026;OK
RLBY1;88022;319918;;;C;22.04.2016;319918;319918;OK
RLHR;117113;142800;39;Associations;P;02.05.2019;142800;142800;OK
RBCZ;118770;689152;3;Corporates;P;22.07.2019;689152;689152;OK
RBI;138635;22265;11;Banks;P;21.04.2022;22265;22265;OK
CASRS;141257;175015;6;Small Medium Business (SMB);P;30.09.2022;175015;175015;OK
RLHR;102025;116944;6;Small Medium Business (SMB);C;06.07.2017;116944;116944;OK
RPL;120851;623895;3;Corporates;P;25.11.2019;623895;623895;OK
RLBH;109886;223305;3;Corporates;C;04.04.2018;223305;223305;OK
ILSK;134691;206253;3;Corporates;C;24.09.2021;206253;206253;OK
RBCZ;138661;1914548;6;Small Medium Business (SMB);P;01.01.2022;1914548;1914548;OK
RLRO;92141;196559;6;Small Medium Business (SMB);C;01.09.2016;196559;196559;OK
RLRS;141260;682690;3;Corporates;P;30.09.2022;682690;682690;OK
RLHR;105505;1049564;3;Corporates;C;13.11.2017;1049564;1049564;OK
RLCZ;126371;789173;3;Corporates;P;27.08.2019;789173;789173;OK
TLSK;137397;1051657;3;Corporates;P;27.01.2022;1051657;1051657;OK
RLRS;121792;1035552;3;Corporates;P;26.12.2019;1035552;1035552;OK
RLBH;123931;1204934;6;Small Medium Business (SMB);C;26.03.2020;1204934;1204934;OK
TBSK;137031;764901;3;Corporates;C;04.01.2022;764901;764901;OK
TLSK;106985;661882;6;Small Medium Business (SMB);C;19.12.2017;661882;661882;OK
RLPL;94322;432101;;;C;04.11.2016;;;ERROR
TLSK;96286;522196;;;C;12.01.2017;;;ERROR
RLRO;125230;716912;3;Corporates;C;02.06.2020;;;ERROR
RBRO;121952;933437;6;Small Medium Business (SMB);P;06.01.2020;933437;933437;OK
RLRS;139576;1541564;6;Small Medium Business (SMB);P;16.06.2022;1541564;1541564;OK
RLRS;113671;1031766;6;Small Medium Business (SMB);P;01.11.2018;1031766;1031766;OK
RLRO;114271;508153;3;Corporates;P;28.11.2018;508153;508153;OK
RLBH;95786;555875;3;Corporates;C;22.12.2016;555875;555875;OK
RLBH;116571;882690;6;Small Medium Business (SMB);P;02.04.2019;882690;882690;OK
RLBH;105585;169209;6;Small Medium Business (SMB);C;14.11.2017;169209;169209;OK
RLRO;127650;1574160;6;Small Medium Business (SMB);C;25.09.2020;1574160;1574160;OK
RBRO;114770;511417;3;Corporates;P;19.12.2018;511417;511417;OK
RLBG;123010;94459;3;Corporates;C;26.02.2020;94459;94459;OK
RLRO;113891;933474;6;Small Medium Business (SMB);C;13.11.2018;933474;933474;OK
TBSK;134730;1318965;6;Small Medium Business (SMB);P;27.09.2021;1318965;1318965;OK
RLHR;110827;154531;3;Corporates;C;06.06.2018;154531;154531;OK
RBHR;102246;109463;3;Corporates;C;14.07.2017;109463;109463;OK
RLBH;123650;935801;6;Small Medium Business (SMB);P;18.03.2020;935801;935801;OK
RBAL;124316;1218841;3;Corporates;P;21.04.2020;1218841;1218841;OK
RLHR;88321;108080;3;Corporates;C;28.04.2016;108080;108080;OK
TLSK;114292;100661;3;Corporates;P;29.11.2018;100661;100661;OK
RLBY1;90281;179243;3;Corporates;C;29.06.2016;179243;179243;OK
RLRS;126132;284627;6;Small Medium Business (SMB);P;20.07.2020;284627;284627;OK
RLBH;120491;701448;6;Small Medium Business (SMB);C;31.10.2019;701448;701448;OK
RLHR;121675;108940;3;Corporates;P;20.12.2019;108940;108940;OK
RLCZ;125791;589346;3;Corporates;C;29.06.2020;589346;589346;OK
RLBG;98765;531690;3;Corporates;C;11.04.2017;531690;531690;OK
RBBG;141533;298873;6;Small Medium Business (SMB);P;17.10.2022;298873;298873;OK
RLBG;135591;1524096;18;Specialised Lending Project (excl. Commodity);P;25.10.2021;1524096;1524096;OK
TBSK;128111;1360704;3;Corporates;P;20.10.2020;1360704;1360704;OK
RBRO;115451;807269;6;Small Medium Business (SMB);P;31.01.2019;807269;807269;OK
RLRO;113872;773972;6;Small Medium Business (SMB);C;13.11.2018;773972;773972;OK
RBRO;142432;41066;3;Corporates;P;21.12.2022;41066;41066;OK
TLSK;135151;310552;6;Small Medium Business (SMB);C;04.10.2021;310552;310552;OK
RLHR;131972;438772;6;Small Medium Business (SMB);P;29.04.2021;438772;438772;OK
RLRS;142337;1811557;3;Corporates;P;15.12.2022;1811557;1811557;OK
RLRS;132310;135907;6;Small Medium Business (SMB);P;24.05.2021;135907;135907;OK
RLRO;121676;923058;6;Small Medium Business (SMB);C;20.12.2019;923058;923058;OK
RBRO;136831;928918;6;Small Medium Business (SMB);P;22.12.2021;928918;928918;OK
RLHR;132131;128296;6;Small Medium Business (SMB);P;10.05.2021;128296;128296;OK
RLHR;141695;212758;3;Corporates;P;27.10.2022;212758;212758;OK
RBI;86682;190676;3;Corporates;C;04.03.2016;190676;190676;OK
RLHR;129851;1358535;3;Corporates;C;23.12.2020;1358535;1358535;OK
RLHR;117891;550299;3;Corporates;C;12.06.2019;550299;550299;OK
RLCZ;128976;485647;3;Corporates;C;26.11.2020;485647;485647;OK
TLSK;112671;526835;6;Small Medium Business (SMB);C;27.09.2018;526835;526835;OK
RLPL;86625;331613;;;C;02.03.2016;;;ERROR
RBCZ;102205;14690;11;Banks;C;13.07.2017;;;ERROR
RLPL;93021;78860;;;C;04.10.2016;;;ERROR
