unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
AVAL;1397715;6;602332;915000;3160000;2441000
AVAL;537177;6;817952;915000;2490000;2441000
AVAL;221154;6;165117;915000;3960000;2441000
AVAL;1995385;6;4;915000;5850000;2441000
AVAL;717581;6;40580;915000;4670000;2441000
AVAL;786207;6;0;915000;6170000;2441000
AVAL;329865;6;12837;915000;3260000;2441000
AVAL;1022279;6;123487;915000;3200000;2441000
AVAL;221167;6;1038923;915000;3500000;2441000
AVAL;1598597;6;154091;915000;2770000;2441000
AVAL;1554209;6;46382;915000;2510000;2441000
AVAL;322970;6;677857;915000;3420000;2441000
AVAL;1236239;6;317784;915000;2520000;2441000
AVAL;322285;6;268302;915000;4130000;2441000
AVAL;1564862;6;19437;915000;2840000;2441000
AVAL;598041;6;47921;915000;2810000;2441000
AVAL;1971985;6;11421;915000;3280000;2441000
AVAL;808786;6;1336106;915000;6950000;2441000
AVAL;704333;6;234224;915000;4920000;2441000
AVAL;882379;6;205153;915000;3490000;2441000
AVAL;731335;6;54323;915000;4070000;2441000
AVAL;722910;6;178062;915000;3290000;2441000
AVAL;783208;6;265165;915000;3190000;2441000
AVAL;1829671;6;9;915000;2870000;2441000
AVAL;499630;6;61042;915000;3590000;2441000
AVAL;1913053;6;6;915000;3530000;2441000
AVAL;221333;6;864965;915000;2810000;2441000
AVAL;313864;6;63725;915000;2590000;2441000
AVAL;1820850;6;25878;915000;3100000;2441000
AVAL;1333898;6;826896;915000;2770000;2441000
AVAL;303713;6;175709;915000;2610000;2441000
AVAL;217091;6;586821;915000;3520000;2441000
AVAL;317385;6;695937;915000;4500000;2441000
AVAL;749179;6;58151;915000;3430000;2441000
AVAL;746226;6;380406;915000;3490000;2441000
AVAL;454600;6;20;915000;2450000;2441000
AVAL;218890;6;663033;915000;2930000;2441000
AVAL;1225106;6;18;915000;2830000;2441000
AVAL;1501025;6;579579;915000;2680000;2441000
AVAL;523644;6;21389;915000;70360000;2441000
AVAL;1636840;6;404315;915000;4940000;2441000
AVAL;738417;6;254180;915000;3090000;2441000
AVAL;752662;6;577166;915000;4280000;2441000
AVAL;2078913;6;20466;915000;3570000;2441000
AVAL;1805827;6;22;915000;2520000;2441000
AVAL;1047962;6;67;915000;3490000;2441000
AVAL;1547845;6;1;915000;3730000;2441000
AVAL;1548217;6;0;915000;8760000;2441000
AVAL;1024685;6;8594;915000;2540000;2441000
AVAL;460719;6;124368;915000;2550000;2441000
AVAL;1627755;6;0;915000;2760000;2441000
AVAL;868703;6;308058;915000;2480000;2441000
AVAL;1566152;6;5;915000;2760000;2441000
AVAL;220180;6;249377;915000;4030000;2441000
AVAL;2092857;6;286225;915000;3000000;2441000
AVAL;282842;6;720524;915000;2570000;2441000
AVAL;217249;6;167771;915000;4150000;2441000
AVAL;721638;6;0;915000;2480000;2441000
