unit;trigger_default_id;trigger_default_cocunut;trigger_default_entity_type;trigger_default_entity_type_desc;trigger_default_class_1;trigger_default_rank;cross_default_id;cross_default_cocunut;cross_default_entity_type;cross_default_entity_type_desc;cross_default_class_1;cross_booking_company;cross_default_rank;number_days;trigger_default_start_conf_on;cross_default_start_conf_on;dqi_check
RLCZ;111809;92677;3;Corporates;D1;1;111846;92677;3;Corporates;D12;RBCZ;2;6;07.08.2018;13.08.2018;ERROR
RLCZ;110185;1402867;6;Small Medium Business (SMB);D8;1;131351;1402867;6;Small Medium Business (SMB);D12;RBCZ;2;1067;24.04.2018;26.03.2021;ERROR
RLCZ;110685;716505;6;Small Medium Business (SMB);D8;1;125590;716505;6;Small Medium Business (SMB);D12;RBCZ;2;750;30.05.2018;18.06.2020;ERROR
RLCZ;118570;689152;3;Corporates;D11;1;118770;689152;3;Corporates;D12;RBCZ;2;0;22.07.2019;22.07.2019;OK
RLCZ;133871;1464035;6;Small Medium Business (SMB);D11;1;133897;1464035;6;Small Medium Business (SMB);D12;RBCZ;2;0;10.08.2021;10.08.2021;OK
RLCZ;99308;167398;;;D5;1;100245;167398;;;D12;RBI;2;25;28.04.2017;23.05.2017;ERROR
RLHR;94482;108485;3;Corporates;D11;1;94483;108485;3;Corporates;D12;RBHR;2;0;10.11.2016;10.11.2016;OK
RLHR;115330;108556;3;Corporates;D11;1;115332;108556;3;Corporates;D12;RBHR;2;0;25.01.2019;25.01.2019;OK
RLHR;98409;107519;4;Government-Owned Commercial Undertaking;D4;2;98405;107519;4;Government-Owned Commercial Undertaking;D12;RBHR;1;0;31.03.2017;31.03.2017;OK
RLHR;102225;109463;3;Corporates;D11;1;102246;109463;3;Corporates;D12;RBHR;2;0;14.07.2017;14.07.2017;OK
RLHR;125391;128326;6;Small Medium Business (SMB);D4;1;125392;128326;6;Small Medium Business (SMB);D12;RBHR;2;0;10.06.2020;10.06.2020;OK
RLHR;131990;534770;3;Corporates;D11;1;131991;534770;3;Corporates;D12;RBHR;2;0;30.04.2021;30.04.2021;OK
RLKO;141794;947669;6;Small Medium Business (SMB);D8;1;141795;947669;6;Small Medium Business (SMB);D12;RBKO;2;0;07.11.2022;07.11.2022;OK
RLRO;121854;933437;6;Small Medium Business (SMB);D8;1;121952;933437;6;Small Medium Business (SMB);D12;RBRO;2;8;29.12.2019;06.01.2020;ERROR
RLRO;120471;1038103;6;Small Medium Business (SMB);D8;1;120532;1038103;6;Small Medium Business (SMB);D12;RBRO;2;8;29.10.2019;06.11.2019;ERROR
RLRO;125851;928383;6;Small Medium Business (SMB);D8;1;125870;928383;6;Small Medium Business (SMB);D12;RBRO;2;2;30.06.2020;02.07.2020;OK
RLRO;109087;844773;6;Small Medium Business (SMB);D8;1;110005;844773;6;Small Medium Business (SMB);D12;RBRO;2;38;06.03.2018;13.04.2018;ERROR
RLRO;115411;807269;6;Small Medium Business (SMB);D8;1;115451;807269;6;Small Medium Business (SMB);D12;RBRO;2;2;29.01.2019;31.01.2019;OK
RLRO;129575;1328588;6;Small Medium Business (SMB);D8;1;129578;1328588;6;Small Medium Business (SMB);D12;RBRO;2;1;13.12.2020;14.12.2020;OK
RLRO;136792;928918;6;Small Medium Business (SMB);D8;1;136831;928918;6;Small Medium Business (SMB);D12;RBRO;2;2;20.12.2021;22.12.2021;OK
RLRO;114394;511417;3;Corporates;D8;1;114770;511417;3;Corporates;D12;RBRO;2;17;02.12.2018;19.12.2018;ERROR
RLRO;139274;1933547;6;Small Medium Business (SMB);D1;1;139276;1933547;6;Small Medium Business (SMB);D12;RBRO;2;0;26.05.2022;26.05.2022;OK
RLRO;114850;652745;6;Small Medium Business (SMB);D11;1;114851;652745;6;Small Medium Business (SMB);D12;RBRO;2;0;24.12.2018;24.12.2018;OK
RLRO;135691;151329;6;Small Medium Business (SMB);D1;1;136176;151329;6;Small Medium Business (SMB);D12;RBRO;2;22;28.10.2021;19.11.2021;ERROR
RLRO;132010;757599;6;Small Medium Business (SMB);D8;1;132030;757599;6;Small Medium Business (SMB);D12;RBRO;2;2;02.05.2021;04.05.2021;OK
RLRO;118733;680789;6;Small Medium Business (SMB);D8;1;119090;680789;6;Small Medium Business (SMB);D12;RBRO;2;22;30.07.2019;21.08.2019;ERROR
RLRS;122270;1558909;6;Small Medium Business (SMB);D11;1;122290;1558909;6;Small Medium Business (SMB);D12;RBRS;2;3;24.01.2020;27.01.2020;OK
RLRS;129012;513577;3;Corporates;D11;1;129017;513577;3;Corporates;D12;RBRS;2;0;27.11.2020;27.11.2020;OK
RLRS;113731;165537;6;Small Medium Business (SMB);D11;1;113770;165537;6;Small Medium Business (SMB);D12;RBRS;2;1;05.11.2018;06.11.2018;OK
RLRS;127934;1590943;6;Small Medium Business (SMB);D11;1;127950;1590943;6;Small Medium Business (SMB);D12;RBRS;2;1;08.10.2020;09.10.2020;OK
RLRS;140732;1347410;6;Small Medium Business (SMB);D11;1;141033;1347410;6;Small Medium Business (SMB);D12;RBRS;2;22;25.08.2022;16.09.2022;ERROR
TBSK;109445;786599;3;Corporates;D11;1;138612;786599;3;Corporates;D12;TLSK;2;1490;22.03.2018;20.04.2022;ERROR
TBSK;93862;751945;6;Small Medium Business (SMB);D11;1;93990;751945;6;Small Medium Business (SMB);D12;TLSK;2;0;25.10.2016;25.10.2016;OK
TBSK;131410;805532;3;Corporates;D11;1;134680;805532;3;Corporates;D12;ILSK;2;178;30.03.2021;24.09.2021;ERROR
TBSK;131410;805532;3;Corporates;D11;1;138788;805532;3;Corporates;D12;TLSK;3;394;30.03.2021;28.04.2022;OK
TBSK;130818;100619;3;Corporates;D11;1;130821;100619;3;Corporates;D12;TLSK;2;0;26.02.2021;26.02.2021;OK
TBSK;114213;100661;3;Corporates;D11;1;114292;100661;3;Corporates;D12;TLSK;2;2;27.11.2018;29.11.2018;OK
TBSK;93224;100835;6;Small Medium Business (SMB);D11;1;93401;100835;6;Small Medium Business (SMB);D12;TLSK;2;1;11.10.2016;12.10.2016;OK
TBSK;106505;1064715;6;Small Medium Business (SMB);D11;1;134678;1064715;6;Small Medium Business (SMB);D12;ILSK;2;1382;12.12.2017;24.09.2021;ERROR
TBSK;106505;1064715;6;Small Medium Business (SMB);D11;1;138791;1064715;6;Small Medium Business (SMB);D12;TLSK;3;1598;12.12.2017;28.04.2022;OK
TBSK;119811;1223833;3;Corporates;D11;1;119910;1223833;3;Corporates;D12;TLSK;2;0;26.09.2019;26.09.2019;OK
TBSK;112710;1224886;6;Small Medium Business (SMB);D8;1;134677;1224886;6;Small Medium Business (SMB);D12;ILSK;2;1093;27.09.2018;24.09.2021;ERROR
TBSK;112710;1224886;6;Small Medium Business (SMB);D8;1;138793;1224886;6;Small Medium Business (SMB);D12;TLSK;3;1309;27.09.2018;28.04.2022;OK
TBSK;104725;122733;3;Corporates;D11;1;105646;122733;3;Corporates;D12;TLSK;2;29;17.10.2017;15.11.2017;ERROR
TBSK;134231;1321721;3;Corporates;D8;1;134676;1321721;3;Corporates;D12;ILSK;2;24;31.08.2021;24.09.2021;ERROR
TBSK;134231;1321721;3;Corporates;D8;1;138795;1321721;3;Corporates;D12;TLSK;3;240;31.08.2021;28.04.2022;OK
TBSK;129572;1349290;6;Small Medium Business (SMB);D11;1;129650;1349290;6;Small Medium Business (SMB);D12;TLSK;2;1;15.12.2020;16.12.2020;OK
TBSK;128833;1428193;6;Small Medium Business (SMB);D11;1;128930;1428193;6;Small Medium Business (SMB);D12;TLSK;2;1;24.11.2020;25.11.2020;OK
TBSK;128833;1428193;6;Small Medium Business (SMB);D11;1;134673;1428193;6;Small Medium Business (SMB);D12;ILSK;3;304;24.11.2020;24.09.2021;OK
TBSK;123982;1504502;3;Corporates;D11;1;123990;1504502;3;Corporates;D12;RBCZ;2;0;27.03.2020;27.03.2020;OK
TBSK;130651;155326;3;Corporates;D11;1;130691;155326;3;Corporates;D12;TLSK;2;1;16.02.2021;17.02.2021;OK
TBSK;130651;155326;3;Corporates;D11;1;134674;155326;3;Corporates;D12;ILSK;3;220;16.02.2021;24.09.2021;OK
TBSK;139072;1791743;3;Corporates;D11;1;139133;1791743;3;Corporates;D12;TLSK;2;1;17.05.2022;18.05.2022;OK
TBSK;130819;1810632;3;Corporates;D11;1;130824;1810632;3;Corporates;D12;TLSK;2;0;26.02.2021;26.02.2021;OK
TBSK;118551;181865;6;Small Medium Business (SMB);D11;1;118591;181865;6;Small Medium Business (SMB);D12;TLSK;2;0;23.07.2019;23.07.2019;OK
TBSK;130577;1826618;6;Small Medium Business (SMB);D11;1;130610;1826618;6;Small Medium Business (SMB);D12;TLSK;2;1;09.02.2021;10.02.2021;OK
TBSK;142158;1905748;6;Small Medium Business (SMB);D11;1;142175;1905748;6;Small Medium Business (SMB);D12;TLSK;2;0;06.12.2022;06.12.2022;OK
TBSK;140333;1959578;6;Small Medium Business (SMB);D8;1;140334;1959578;6;Small Medium Business (SMB);D12;RLCZ;2;2;30.07.2022;01.08.2022;OK
TBSK;139333;1969834;6;Small Medium Business (SMB);D8;1;139377;1969834;6;Small Medium Business (SMB);D12;TLSK;2;2;29.05.2022;31.05.2022;OK
TBSK;91002;214604;3;Corporates;D11;1;91101;214604;3;Corporates;D12;TLSK;2;0;26.07.2016;26.07.2016;OK
TBSK;98825;25977;3;Corporates;D8;1;122351;25977;3;Corporates;D12;RLGMBH;3;1031;12.04.2017;07.02.2020;OK
TBSK;101545;303153;6;Small Medium Business (SMB);D11;1;101606;303153;6;Small Medium Business (SMB);D12;TLSK;2;0;27.06.2017;27.06.2017;OK
TBSK;89261;39133;3;Corporates;D11;1;89441;39133;3;Corporates;D12;TLSK;2;1;31.05.2016;01.06.2016;OK
TBSK;135812;467049;3;Corporates;D8;1;137413;467049;3;Corporates;D12;ILSK;2;86;03.11.2021;28.01.2022;ERROR
TBSK;135812;467049;3;Corporates;D8;1;138778;467049;3;Corporates;D12;TLSK;3;176;03.11.2021;28.04.2022;OK
TBSK;103745;504085;6;Small Medium Business (SMB);D11;1;134682;504085;6;Small Medium Business (SMB);D12;ILSK;3;1480;05.09.2017;24.09.2021;OK
TBSK;112551;526835;6;Small Medium Business (SMB);D11;1;112671;526835;6;Small Medium Business (SMB);D12;TLSK;2;2;25.09.2018;27.09.2018;OK
TBSK;106870;661882;6;Small Medium Business (SMB);D11;1;106985;661882;6;Small Medium Business (SMB);D12;TLSK;2;0;19.12.2017;19.12.2017;OK
TBSK;97005;733159;6;Small Medium Business (SMB);D11;1;97085;733159;6;Small Medium Business (SMB);D12;TLSK;2;1;14.02.2017;15.02.2017;OK
TBSK;88041;804919;3;Corporates;D11;1;88364;804919;3;Corporates;D12;TLSK;2;1;26.04.2016;27.04.2016;OK
